image_name;manual_count;script_own;script_simple;script_watershed;script_own_sparse;script_SarDist;YOLO_count
img_01;39;35;35;45;57;39;
img_02;88;45;46;59;51;65;
img_03;75;55;56;63;63;70;
img_04;64;52;53;55;60;61;
img_05;57;36;37;41;70;47;
img_06;86;50;51;58;74;66;
img_07;84;67;71;71;80;79;
img_08;115;41;44;81;69;76;
img_09;75;59;60;64;78;71;
img_10;71;53;54;61;69;68;
img_11;83;45;48;57;59;62;
img_12;91;44;46;67;57;58;
img_13;84;50;51;58;74;66;
img_14;67;32;33;46;42;45;
img_15;63;40;41;50;59;45;
